"子订单编号","主订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","联系方式备注","订单状态","商家编码","支付单号","买家应付货款","买家实际支付金额","退款状态","退款金额","订单创建时间","订单付款时间","商品id","分阶段订单信息","备注标签","商家备注","主订单买家留言","发货时间","物流单号","物流公司","是否赔付","赔付金额","赔付出账时间"
="3667678056390047464",="3667678056390047464","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","卖家已发货，等待买家确认","YD105黑色",="2023120822001183641406781861","99.00","99.00","没有申请退款","无退款申请","2023-12-08 17:51:30","2023-12-08 17:51:39",="710443252162","null","null","","null","2023-12-09 09:29:10","No:773259466170507","申通快递","否","null","null"
="3665951067021013005",="3665951067021013005","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","卖家已发货，等待买家确认","YD105黑色",="2023120722001186671419697077","99.00","99.00","没有申请退款","无退款申请","2023-12-07 10:34:53","2023-12-07 10:35:00",="710443252162","null","null","","null","2023-12-08 10:02:54","No:773259307512497","申通快递","否","null","null"
="3660943609375531765",="3660943609375531765","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","卖家已发货，等待买家确认","YD105黑色",="2023120422001168221411351357","99.00","99.00","没有申请退款","无退款申请","2023-12-04 17:36:10","2023-12-04 17:36:16",="710443252162","null","null","","null","2023-12-05 08:55:40","No:773258808143835","申通快递","否","null","null"
="3660226200524847658",="3660226200524847658","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","交易成功","YD105黑色",="2023120422001168431412258105","99.00","99.00","没有申请退款","无退款申请","2023-12-04 14:55:00","2023-12-04 14:55:08",="710443252162","null","null","","null","2023-12-05 08:55:24","No:773258808972829","申通快递","否","null","null"
="3660261087263013005",="3660261087263013005","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105黑色","颜色分类：黑色[103*45cm]","null","null","卖家已发货，等待买家确认","YD105黑色",="2023120422001186671400084867","99.00","99.00","没有申请退款","无退款申请","2023-12-04 09:42:01","2023-12-04 09:42:08",="710443252162","null","null","","null","2023-12-05 08:55:08","No:773258808972817","申通快递","否","null","null"
="3660053654699084101",="3660053654699084101","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105灰色","颜色分类：灰色","null","null","卖家已发货，等待买家确认","YD105灰色",="2023120422001145981442191505","99.00","99.00","没有申请退款","无退款申请","2023-12-04 08:58:02","2023-12-04 08:58:04",="710443252162","null","null","","null","2023-12-05 15:48:22","No:773258910804034","申通快递","否","null","null"
="3659870918318379071",="3659870918318379071","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105灰色","颜色分类：灰色","null","null","卖家已发货，等待买家确认","YD105灰色",="2023120422001191101432566815","99.00","99.00","没有申请退款","无退款申请","2023-12-04 00:24:47","2023-12-04 00:24:55",="710443252162","null","null","","null","2023-12-04 09:36:24","No:773258639283275","申通快递","否","null","null"
="3659361732425425754",="3659361732425425754","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","交易关闭","YD105焦糖",="2023120422001183151436185974","99.00","99.00","退款成功","114.00","2023-12-04 00:09:56","2023-12-04 00:10:03",="710443252162","null","null","","null","null","null","null","否","null","null"
="3659757841724391825",="3659757841723391825","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","卖家已发货，等待买家确认","YD105焦糖",="2023120322001130071419248077","99.00","99.00","没有申请退款","无退款申请","2023-12-03 23:52:19","2023-12-03 23:52:30",="710443252162","null","null","","null","2023-12-05 16:14:50","No:773258919194405","申通快递","否","null","null"
="3659757841725391825",="3659757841723391825","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105米杏","颜色分类：米杏","null","null","卖家已发货，等待买家确认","YD105米杏",="2023120322001130071419248077","99.00","99.00","没有申请退款","无退款申请","2023-12-03 23:52:19","2023-12-03 23:52:30",="710443252162","null","null","","null","2023-12-05 14:23:50","No:773258872455963","申通快递","否","null","null"
="3659933739848723919",="3659933739847723919","【言选好物】慕江南-腰带-简约细腰腰带","99.00","1","YD105焦糖","颜色分类：焦糖","null","null","卖家已发货，等待买家确认","YD105焦糖",="2023120322001100671453142996","99.00","99.00","没有申请退款","无退款申请","2023-12-03 23:26:53","2023-12-03 23:27:00",="710443252162","null","null","","null","2023-12-05 16:15:09","No:773258919194399","申通快递","否","null","null"
